"month","year","state","total_laid_off"
"April",1999,"Alabama",827
"April",1999,"Kansas",349
"April",2000,"Alabama",304
"April",2001,"Alabama",562
"April",2001,"Oklahoma",73
"April",2002,"Alabama",606
"April",2002,"Kansas",972
"April",2002,"Oklahoma",331
"April",2003,"Alabama",462
"April",2003,"Kansas",1385
"April",2003,"Oklahoma",141
"April",2004,"Alabama",631
"April",2004,"Kansas",462
"April",2004,"New Jersey",732
"April",2004,"Oklahoma",1061
"April",2004,"Vermont",25
"April",2004,"Washington",456
"April",2005,"Alabama",80
"April",2005,"Kansas",386
"April",2005,"New Jersey",NA
"April",2005,"Oklahoma",500
"April",2005,"Washington",901
"April",2006,"Alaska",102
"April",2006,"Kansas",771
"April",2006,"New Jersey",1139
"April",2006,"Oklahoma",1665
"April",2006,"Washington",255
"April",2007,"Alabama",632
"April",2007,"Kansas",120
"April",2007,"New Jersey",405
"April",2007,"New York",1340
"April",2007,"Oklahoma",320
"April",2007,"Washington",482
"April",2008,"Alabama",450
"April",2008,"Kansas",500
"April",2008,"New Jersey",2577
"April",2008,"New York",NA
"April",2008,"Oklahoma",70
"April",2008,"Vermont",270
"April",2008,"Washington",177
"April",2009,"Alabama",671
"April",2009,"Indiana",NA
"April",2009,"Kansas",1939
"April",2009,"New Jersey",234
"April",2009,"New York",NA
"April",2009,"Oklahoma",163
"April",2009,"Rhode Island",226
"April",2009,"Vermont",42
"April",2009,"Washington",752
"April",2010,"Alabama",27
"April",2010,"Arizona",953
"April",2010,"Delaware",150
"April",2010,"Indiana",675
"April",2010,"Kansas",256
"April",2010,"Maryland",351
"April",2010,"New Jersey",281
"April",2010,"New York",NA
"April",2010,"Oklahoma",125
"April",2010,"Utah",50
"April",2010,"Washington",125
"April",2011,"Alabama",172
"April",2011,"Arizona",112
"April",2011,"Idaho",522
"April",2011,"Indiana",76
"April",2011,"Kansas",375
"April",2011,"Maryland",287
"April",2011,"New Jersey",1186
"April",2011,"New York",2826
"April",2011,"Oklahoma",130
"April",2011,"Rhode Island",98
"April",2011,"Texas",1829
"April",2011,"Virginia",268
"April",2011,"Washington",384
"April",2012,"Alabama",322
"April",2012,"Arizona",136
"April",2012,"Indiana",625
"April",2012,"Kansas",393
"April",2012,"Maryland",915
"April",2012,"New Jersey",2802
"April",2012,"New York",1841
"April",2012,"Oklahoma",179
"April",2012,"Oregon",86
"April",2012,"Rhode Island",150
"April",2012,"Texas",1496
"April",2012,"Virginia",973
"April",2012,"Washington",338
"April",2013,"Alabama",635
"April",2013,"Arizona",150
"April",2013,"Indiana",NA
"April",2013,"Kansas",155
"April",2013,"Maine",270
"April",2013,"Maryland",NA
