,state,city,laid_off,date,month,year
0,Alabama,Daleville,132.0,2021-07-28,July,2021
1,Alabama,Jasper,42.0,2021-07-26,July,2021
2,Alabama,Birmingham,133.0,2021-07-20,July,2021
3,Alabama,Gadsden,58.0,2021-07-07,July,2021
4,Alabama,Decatur,62.0,2021-06-30,June,2021
5,Alabama,Northport,47.0,2021-06-21,June,2021
6,Alabama,Mobile,70.0,2021-01-26,January,2021
7,Alabama,Huntsville,275.0,2021-01-26,January,2021
8,Alabama,Mount Meigs,55.0,2020-12-03,December,2020
9,Alabama,Jacksonville,62.0,2020-11-18,November,2020
10,Alabama,Bay Minette,87.0,2020-10-26,October,2020
11,Alabama,Birmingham,111.0,2020-10-19,October,2020
12,Alabama,Cherokee,550.0,2020-09-15,September,2020
13,Alabama,Leroy,87.0,2020-09-08,September,2020
14,Alabama,Oxford,136.0,2020-08-20,August,2020
15,Alabama,Birmingham,85.0,2020-08-13,August,2020
16,Alabama,Huntsville,172.0,2020-08-03,August,2020
17,Alabama,Huntsville,234.0,2020-08-03,August,2020
18,Alabama,Piedmont,49.0,2020-07-16,July,2020
19,Alabama,Eufaula,309.0,2020-07-16,July,2020
20,Alabama,Huntsville,100.0,2020-07-16,July,2020
21,Alabama,Birmingham,91.0,2020-07-16,July,2020
22,Alabama,Birmingham,91.0,2020-07-16,July,2020
23,Alabama,Columbiana,94.0,2020-06-15,June,2020
24,Alabama,Gadsden,592.0,2020-05-06,May,2020
25,Alabama,Fairfield,633.0,2020-05-01,May,2020
26,Alabama,McCalla,76.0,2020-04-22,April,2020
27,Alabama,Mobile,82.0,2020-04-22,April,2020
28,Alabama,,95.0,2020-04-17,April,2020
29,Alabama,Anniston,64.0,2020-04-17,April,2020
30,Alabama,,90.0,2020-04-14,April,2020
31,Alabama,Eufaula,56.0,2020-04-14,April,2020
32,Alabama,Theodore,66.0,2020-02-14,February,2020
33,Alabama,State-Wide,491.0,2020-02-06,February,2020
34,Alabama,Tuscaloosa,166.0,2020-01-31,January,2020
35,Alabama,Northport,102.0,2020-01-24,January,2020
36,Alabama,Hoover,68.0,2020-01-10,January,2020
37,Alabama,Wetumpka,148.0,2019-10-31,October,2019
38,Alabama,LaFayette,86.0,2019-10-18,October,2019
39,Alabama,Dothan,50.0,2019-09-27,September,2019
40,Alabama,Opelika,146.0,2019-09-17,September,2019
41,Alabama,Daphne,72.0,2019-08-05,August,2019
42,Alabama,Birmingham,111.0,2019-07-26,July,2019
43,Alabama,Montgomery,60.0,2019-07-26,July,2019
44,Alabama,Monroeville,95.0,2019-06-06,June,2019
45,Alabama,Greenville,98.0,2019-05-16,May,2019
46,Alabama,Montgomery,58.0,2019-04-17,April,2019
47,Alabama,Cottondale,56.0,2019-04-03,April,2019
48,Alabama,Northport,127.0,2019-04-03,April,2019
49,Alabama,Cottondale,118.0,2019-04-01,April,2019
50,Alabama,Birmingham,181.0,2019-03-29,March,2019
51,Alabama,Alabaster,152.0,2019-03-29,March,2019
52,Alabama,Bay Minette,182.0,2019-01-31,January,2019
53,Alabama,Birmingham,107.0,2019-01-09,January,2019
54,Alabama,Selma,84.0,2018-10-30,October,2018
55,Alabama,Ozark,80.0,2018-10-17,October,2018
56,Alabama,Vance,271.0,2018-10-03,October,2018
57,Alabama,Abbeville,55.0,2018-09-28,September,2018
58,Alabama,Lincoln,58.0,2018-09-17,September,2018
59,Alabama,Birmingham,89.0,2018-08-13,August,2018
60,Alabama,Statewide,169.0,2018-08-09,August,2018
61,Alabama,Huntsville,151.0,2018-07-18,July,2018
62,Alabama,Enterprise,70.0,2018-07-16,July,2018
63,Alabama,Jacksonville,47.0,2018-07-16,July,2018
64,Alabama,Auburn,445.0,2018-06-12,June,2018
65,Alabama,Jacksonville,207.0,2018-05-18,May,2018
66,Alabama,Birmingham,73.0,2018-05-01,May,2018
67,Alabama,Prattville,92.0,2018-04-16,April,2018
68,Alabama,Dothan,66.0,2018-04-12,April,2018
69,Alabama,Andalusia,56.0,2018-04-12,April,2018
70,Alabama,Montgomery,195.0,2018-03-19,March,2018
71,Alabama,Jacksonville,65.0,2018-03-02,March,2018
72,Alabama,Mobile,80.0,2018-03-02,March,2018
73,Alabama,Phenix City,150.0,2018-02-28,February,2018
74,Alabama,State Wide,648.0,2018-02-05,February,2018
75,Alabama,Tuscaloosa,57.0,2018-02-01,February,2018
76,Alabama,Vienna,276.0,2018-02-01,February,2018
77,Alabama,Hoover,68.0,2018-01-22,January,2018
78,Alabama,Irondale,136.0,2018-01-22,January,2018
79,Alabama,Alexander City,75.0,2018-01-09,January,2018
80,Alabama,Theodore,51.0,2018-01-09,January,2018
81,Alabama,Wetumpka,104.0,2017-11-27,November,2017
82,Alabama,Haleyville,87.0,2017-11-17,November,2017
83,Alabama,Birmingham,264.0,2017-11-16,November,2017
84,Alabama,Anniston,44.0,2017-11-16,November,2017
85,Alabama,Jacksonville,56.0,2017-09-28,September,2017
86,Alabama,Dothan,96.0,2017-08-01,August,2017
87,Alabama,Huntsville,832.0,2017-07-24,July,2017
88,Alabama,Troy,158.0,2017-06-27,June,2017
89,Alabama,Birmingham,134.0,2017-04-18,April,2017
90,Alabama,Montgomery,9.0,2017-04-07,April,2017
91,Alabama,Bridgeport,332.0,2017-01-10,January,2017
92,Alabama,Huntsville,128.0,2016-12-06,December,2016
93,Alabama,Birmingham,89.0,2016-11-14,November,2016
94,Alabama,Huntsville,175.0,2016-11-09,November,2016
95,Alabama,Mobile,200.0,2016-08-19,August,2016
96,Alabama,Sylacauga,206.0,2016-08-04,August,2016
97,Alabama,Huntsville,14.0,2016-07-18,July,2016
98,Alabama,Mobile,150.0,2016-06-27,June,2016
99,Alabama,Birmingham,96.0,2016-06-10,June,2016
100,Alabama,Bessemer,155.0,2016-06-02,June,2016
