"state","city","city_layoff"
"Alabama","Abbeville",755
"Alabama","Adger",872
"Alabama","Alabaster",451
"Alabama","Albertville",570
"Alabama","Alexander City",3520
"Alabama","Aliceville",170
"Alabama","Andalusia",789
"Alabama","Anniston",4526
"Alabama","Arab",724
"Alabama","Ardmore",29
"Alabama","Arley",134
"Alabama","Ashford",90
"Alabama","Ashland",210
"Alabama","Ashville",69
"Alabama","Athens",2141
"Alabama","Atmore",609
"Alabama","Attalla",316
"Alabama","Auburn",816
"Alabama","Axis",505
"Alabama","Bakerhill",15
"Alabama","Bay Minette",426
"Alabama","Bayou La Batre",90
"Alabama","Bessemer",1033
"Alabama","Birmingham",16548
"Alabama","Boaz",1774
"Alabama","Bon Air",114
"Alabama","Brantley",91
"Alabama","Brewton",160
"Alabama","Bridgeport",332
"Alabama","Brilliant",270
"Alabama","Brookwood",1304
"Alabama","Brundidge",297
"Alabama","Bucks",160
"Alabama","Butler",50
"Alabama","Calera",300
"Alabama","Castleberry",71
"Alabama","Centre",55
"Alabama","Centreville",296
"Alabama","Chapman",263
"Alabama","Chatom",237
"Alabama","Cherokee",550
"Alabama","Chickasaw",23
"Alabama","Citronelle",102
"Alabama","Clayton",403
"Alabama","Clio",91
"Alabama","Columbia",345
"Alabama","Columbiana",327
"Alabama","Coosa Pine",150
"Alabama","Coosa Pines",404
"Alabama","Cottondale",319
"Alabama","Courtland",1500
"Alabama","Cuba",149
"Alabama","Cullman",3016
"Alabama","Dadeville",113
"Alabama","Daleville",3359
"Alabama","Daphne",72
"Alabama","Decatur",4100
"Alabama","Demopolis",563
"Alabama","Dora",47
"Alabama","Dothan",2755
"Alabama","Double Springs",93
"Alabama","Dozier",130
"Alabama","Eastaboga",226
"Alabama","Elba",750
"Alabama","Elkmont",96
"Alabama","Enterprise",443
"Alabama","Eufaula",1466
"Alabama","Evergreen",287
"Alabama","Fairfield",6142
"Alabama","Fairhope",93
"Alabama","Fayette",1408
"Alabama","Florence",4013
"Alabama","Foley",350
"Alabama","Fort Deposit",232
"Alabama","Fort McClellan",112
"Alabama","Fort Payne",2728
"Alabama","Fort Rucker",2333
"Alabama","Frisco City",416
"Alabama","Fulton",143
"Alabama","Gadsden",3640
"Alabama","Gardendale",48
"Alabama","Geneva",980
"Alabama","Geraldine",70
"Alabama","Grant",93
"Alabama","Graysville",88
"Alabama","Green Pond",54
"Alabama","Greensboro",529
"Alabama","Greenville",1118
"Alabama","Grove Hill",70
"Alabama","Guin",196
"Alabama","Gulf Shores",101
"Alabama","Guntersville",169
"Alabama","Hackleburg",356
"Alabama","Haleyville",356
"Alabama","Hamilton",125
"Alabama","Hanceville",217
"Alabama","Hartselle",679
"Alabama","Heflin",310
"Alabama","Holly Pond",148
"Alabama","Hollywood",83
"Alabama","Holt",141
"Alabama","Homewood",1217
"Alabama","Hoover",824
"Alabama","Hueytown",281
"Alabama","Huntsville",11378
"Alabama","Irondale",136
"Alabama","Jackson",1075
"Alabama","Jacksonville",637
"Alabama","Jasper",516
"Alabama","Killen",35
"Alabama","LaFayette",86
"Alabama","Lafayette",349
"Alabama","Lanett",718
"Alabama","Leeds",134
"Alabama","Leroy",87
"Alabama","Lincoln",904
"Alabama","Lineville",160
"Alabama","Livingston",80
"Alabama","Luverne",156
"Alabama","Madison",877
"Alabama","Maplesville",231
"Alabama","Marion",391
"Alabama","Marshall Center",496
"Alabama","McCalla",293
"Alabama","McIntosh",126
"Alabama","Millport",250
"Alabama","Mobile",7210
"Alabama","Monroeville",773
"Alabama","Montevallo",51
"Alabama","Montgomery",5923
"Alabama","Moody",62
"Alabama","Moundville",172
"Alabama","Mount Meigs",55
"Alabama","Muscle Shoals",2366
"Alabama","Northport",334
"Alabama","Oakman",425
"Alabama","Oneonta",881
"Alabama","Opelika",3035
"Alabama","Opp",982
"Alabama","Orange Beach",40
"Alabama","Oxford",354
"Alabama","Ozark",870
"Alabama","Pelham",435
"Alabama","Pell City",438
"Alabama","Perdue Hill",167
"Alabama","Peterman",319
"Alabama","Phenix City",2267
"Alabama","Piedmont",647
"Alabama","Pine Hill",300
"Alabama","Pleasant Grove",175
"Alabama","Prattville",584
"Alabama","Prichard",116
"Alabama","Quinton",64
"Alabama","Rainbow City",119
"Alabama","Red Bay",273
"Alabama","Redstone Arsenal",1460
"Alabama","Reform",269
"Alabama","Roanoke",45
"Alabama","Robertsdale",475
"Alabama","Rockford",100
"Alabama","Rogersville",69
"Alabama","Russellville",710
"Alabama","Saraland",104
"Alabama","Scottsboro",1773
"Alabama","Selma",1811
"Alabama","Sheffield",66
"Alabama","Shorter",207
"Alabama","Silas",170
"Alabama","Slocomb",300
"Alabama","Snead",50
"Alabama","Spanish Fort",68
"Alabama","State Wide",648
"Alabama","State-Wide",491
"Alabama","Statewide",367
"Alabama","Steele",84
"Alabama","Stevenson",745
"Alabama","Sulligent",287
"Alabama","Sylacauga",2491
"Alabama","Talladega",771
"Alabama","Tallassee",82
"Alabama","Tanner",140
"Alabama","Taylor",215
"Alabama","Theodore",790
"Alabama","Thomasville",520
"Alabama","Townley",165
"Alabama","Triana",150
"Alabama","Troy",433
"Alabama","Trussville",651
"Alabama","Tuscaloosa",NA
"Alabama","Tuscumbia",232
"Alabama","Tuskegee",268
"Alabama","Union Springs",91
"Alabama","Valley",2981
"Alabama","Valley Head",343
"Alabama","Vance",675
"Alabama","Vernon",219
"Alabama","Vestavia Hills",75
"Alabama","Vienna",276
"Alabama","Wetumpka",1460
"Alabama","Winfield",706
"Alabama",NA,338
"Alaska","Anchorage",1643
"Alaska","Anchorage on Muldoon Road",167
"Alaska","Anchorage on Old Seward Hwy.",181
"Alaska","Anchorage,
Eagle River,
Wasilla & Soldotna",100
"Alaska","Anchorage, others",1234
"Alaska","Anchorage,Fairbanks,Denali National Park andHealy",149
"Alaska","Anchorage/
North Slope",130
"Alaska","Bethel and other Y-K Delta communities",300
"Alaska","Clear",171
"Alaska","Clear, AK",175
"Alaska","Eielson AFB",160
"Alaska","Fairbanks",196
"Alaska","Fairbanks, North Pole",185
"Alaska","Fort Greely",151
"Alaska","Girdwood",616
"Alaska","Juneau",258
"Alaska","Kenai",140
"Alaska","Kodiak",125
"Alaska","Mat-Su",102
"Alaska","Matanuska-Susitna Borough",182
"Alaska","Milne, Endicott, and Northstar
on the North Slope",92
"Alaska","Nome",130
"Alaska","North Slope",1074
"Alaska","North Slope, Kenai Peninsula, And Valdez",50
"Alaska","Prudhoe Bay",214
"Alaska","Prudhoe Bay/
Anchorage",261
"Alaska","Shemya Island",64
"Alaska","Soldotna,
Homer & Seward",149
"Alaska","Statewide",255
"Arizona","Agoura Hills",57
"Arizona","Alanta",51
"Arizona","Amado",103
"Arizona","Anaheim",201
"Arizona","Apache Junction",16
"Arizona","Arvada",56
"Arizona","Atlanta",246
"Arizona","Austin",NA
"Arizona","Bala Cynwyd",100
"Arizona","Battle Creek",180
"Arizona","Bellemont",116
"Arizona","Bellevue",84
"Arizona","Benson",9
"Arizona","Bethesda",261
"Arizona","Boulder",402
"Arizona","Boulder City",105
"Arizona","Brea",50
"Arizona","Bridgewater",319
"Arizona","Buffalo",51
"Arizona","Calabasas Hills",89
"Arizona","Carefree",NA
"Arizona","Casa Grande",446
"Arizona","Centerville",467
"Arizona","Chandler",2528
"Arizona","Charlotte",82
"Arizona","Chicago",56
"Arizona","Chino Valley",136
"Arizona","Cleveland",1226
"Arizona","Columbus",172
"Arizona","Coppell",83
"Arizona","Costa Mesa",NA
"Arizona","Dallas",132
"Arizona","Daphne",155
"Arizona","Dateland",15
"Arizona","Douglas",7
"Arizona","Ehrenberg",1
"Arizona","Eloy",108
"Arizona","Englewood",62
"Arizona","Fairfax",289
"Arizona","Falls Church",240
"Arizona","Flagstaff",520
"Arizona","Fort Huachuca",201
"Arizona","Fort Lauderdale",21
"Arizona","Fort Mohave",7
"Arizona","Framingham",60
"Arizona","Ft. Huachuca",107
"Arizona","Gallup",103
"Arizona","Gilbert",317
"Arizona","Glendale",903
"Arizona","Globe",1
"Arizona","Golden Valley",383
"Arizona","Goodyear",485
"Arizona","Googyear",145
